name,useful_num,funny_num,games_owned,recommended,hours_played,review_date,text
真・三國無雙８,155,12,114,-1,2.2,2018/2/18,"張貼於：2018 年 2 月 18 日
更新檔火速拔掉中文後我也火速退款"
真・三國無雙８,166,48,902,-1,5.0,2018/2/18,"張貼於：2018 年 2 月 18 日
一看到噁心的暗榮搞小手段鎖住語言，就忍不住特地買來給差評了!!
無恥暗榮!!簡直是拿石頭砸自己的腳!!
請大家不要再縱容這種惡劣廠商!!
一起給予負評價吧!!"
真・三國無雙８,122,6,"1,007",-1,6.3,2018/2/15,"張貼於：2018 年 2 月 15 日
優化用不好，系統做不好，結果最先更新的居然是擋掉繁體中文修改，我也是傻眼貓咪!!"
真・三國無雙８,89,3,810,-1,22.6,2018/2/19,"張貼於：2018 年 2 月 19 日
我很少給差評，這個差評是官方自己作出來的。
更新刪除中文也就算了，還TM刪除日文。你脫褲魔是不是還準備賣語言DLC來收費啊。玩PC的就是要求這種主機所沒有的不鎖區感覺，脫褲魔現在硬要冒天下之大不韙來搞PC鎖區可以說是自掘墳墓。脫褲魔應該出來給中日所有PC消費者道歉。如果不發更新補丁則應該開放退款。在發售后兩天做出刪減使玩家無法退款本身就是行為性消費欺詐。"
真・三國無雙８,104,2,200,-1,34.5,2018/2/16,"張貼於：2018 年 2 月 16 日
如果可以,真的想要求steam 把這樣差的遊戲立即下架!"
真・三國無雙８,88,3,7,-1,202.3,2018/2/13,"張貼於：2018 年 2 月 13 日
明明就有中文語音及字幕為何鎖起來呢?
既然這代都出中配了那好好開放讓大家玩
不要刻意鎖華人圈這樣吃相很難看

在除夕這種大日子給了一個(氣到發紅)包
更新檔直接刪中文語音、字幕及日文字幕
繼續惹火華人圈及自家人...何苦呢?"
真・三國無雙８,83,5,7,-1,56.8,2018/2/15,"張貼於：2018 年 2 月 15 日
FPS低我忍了，想說是我電腦不夠好
沒中文字幕我忍了，可以改改註冊表
結果第一個更新居然是把註冊表的BUG鎖起來?????
一個中國歷史取向的遊戲沒有中文字幕????
PS4上有的移來用有多難= =+
可以提供中文字幕然後優化這個遊戲好嗎?
多做點有用的事-.-"
真・三國無雙８,356,6,24,-1,43.1,2018/2/15,"張貼於：2018 年 2 月 15 日
我這邊必須跟大家講明白，我個人是非常喜歡三國無雙系列的遊戲，是陪我從小到大的遊戲。
今天這款真三8，我必須給他負評，說是半成品，我個人還是買單了，今天玩了一個早上，可以明白為什麼有人會說是半成品的原因，就在這個開放地圖的設計，還沒玩之前自己以為，以前系列做不了的事情現在都可以做了，我以為光榮終於找到了方向，對!他找到了方向。卻沒有把開放地圖該做的內容給做齊全，2018了這是2018，開放世界的內容做成這樣真的不及格，真三8的開放世界就只是個開放世界，除了遊覽觀光，對整個遊戲主體內容的進行完全沒用處，
我再說一次，完全沒用。

今天2/15，我吃個年夜飯回來，他有了更新，我以為是改什麼Bug，結果不是，把中文字幕配音都拔掉，我只想說，做的真好，可能是覺得玩家好耍吧，明明就有中文字幕、配音，不放上來，玩家自己私自修改，是，或許玩家們不應該如此，但我得說，其他平台都有中文，就PC沒中文，什麼鬼?而且還不是沒中文的語音包，是有的，有還不放，什麼心態?是想在之後在賣一個中文版的嗎?看不順眼玩家們如此作為就拔掉?其他遊戲的更新，是把沒有的補上去，光榮更新，把原本有的變沒有，了不起!

最後我想跟大家說，我說了這麼多，看到這種處理事情的態度、方式，別買了吧，我已經沒辦法退貨，錢也花了，只能自己消化了，只希望要購買前大家能看到我這篇，三思而後行。

若有冒犯之處，請多包涵。"
真・三國無雙８,262,20,295,-1,28.1,2018/2/14,"張貼於：2018 年 2 月 14 日
我已近十年沒買過三國無雙，對於這款號稱有大革新的新作自然很是期待。先是入手PS4版，但卡頓掉幀令人髮指，故又入了PC版，然而依舊是渣優化，勉強靠著本人優越的電腦硬體把幀數撐起來。此外，首發自帶中文卻鎖住不給用，玩家要自己想法子解開。光榮如此奇葩的行銷手段實在讓人難以恭維。不過，撇開這些問題，遊戲本質真心不算差，人物建模我認為是歷代最好的，戰鬥也很爽快。我個人認為戰鬥操作是比前幾作都好，但基於低劣的渣優化和語言問題目前我還是給負評，待光榮改善後再修正。
--------------
2/15更新:
“暗恥""大概嫌負評不夠多，發的第一個""補丁""就是把中文檔刪光光，注意是中文+日文全刪喔! 好一個新年大禮包，不先搞好優化、不開放中文，現在還玩陰招，節操沒下限鴨! 既然這樣負評就給定了...凸
--------
中文恢復補丁"
真・三國無雙８,52,1,22,-1,4.5,2018/11/19,"張貼於：2018 年 11 月 19 日
【前言（？）】
身為真三系列粉，去年宣布開放PS4版預購時，我曾一度考慮是否要為了玩真三８而買PS4。
好啦，只是一度考慮而已，最後還是沒下手。
我從４開始就是買PC版，而通常PC版都會晚家機版半年左右，沒想到這次只晚幾天而已。
但在剛要開始販售時，STEAM上的中、日文竟然被刪去的事件，又傳出光榮因為版權問題STEAM上不會有中、日文的謠言……刪中文可接受連日文都刪真的不能忍。
於是本來是放棄購入真三８，直到昨天STEAM寄來消息說有免費試玩，才嘗試性的下載下來安裝……
.
【STEAM版無中日文？】
安裝完，開起來還真的是給我英文，讓我看了有傻眼到。不過進設定可以改語言，中文、日文不論語音還是介面都還在，謠言謠言。
.
【操作很反智？】
有人評論真三８的操作「相當反智」。
我玩真三系列一向有我流操作，所以設定全部會重新設定過……
設定的時候就覺得操作項目也太多了。
含４方向移動，全部的操作總共有３２項。
啥？３２？
先不論PS手把到底怎麼湊到３２種輸入的……３２種輸入的PC動作遊戲我還真沒看過，而且還不能設定組合鍵。
.
【介面操作與遊戲操作獨立？】
這次設定操作時，我注意到有個很特別的東西－介面操作。
我上面也有說，我的操作一直是我流操作，這以前有個問題是UI顯示的按鍵和我的按鍵不相同。
「請按O」
按O不會有反應，我的是R1不好意思。
UI沒有跟著改的這個BUG從４代到７代都有（真的）。我是習慣了，但偶爾借人玩的時候就會被說手把壞掉（這也是真的）。
這次竟然有獨立設計出介面操作的設定，也就是說我可以設定介面操作時和原設定相同，但遊戲操作還是我流囉？
錯。
介面操作的設定只有適用於主選單，遊戲暫停後的介面操作不適用。
恩……所以到底是我的理解錯誤呢？還是程式設計師理解錯誤呢？還是Bug沒有被修正呢？
.
【精緻的（？）動畫】
終於要開始遊戲了，真三系列一直都有很精緻的動畫，尤其是真三６開場動畫的精緻、遊戲銜接的流暢真的是讓我極為驚艷。
真三８，開場動畫，兩個３Ｄ模組傻不愣登面對面站著對話，對話完還不是直接切換成遊戲模式，還要黑畫面重新讀取後才進入遊戲。
ＷＴＦ！？動畫呢？
１５年前真三３的都比這還精緻，這種根本就是開發中用的畫面也敢端出來當商品賣？
.
【流暢的（？）無雙攻擊】
除了莫名其妙的真三５，真三系列都是普通攻擊和蓄力攻擊兩者交互使用為主。雖然真三６、真三７多了易武攻擊，但最多不過是銜接用的，並不能算是主要攻擊模式。
這次真三的攻擊模式大幅改變，蓄力攻擊的△被改成觸發攻擊，依敵人的狀態不同攻擊招式也不同。
流暢？
攻擊是不間斷沒錯啦，但身為真三２就開始玩的老玩家如我覺得真三的控制感消失了。
真三系列的動作操作一向都是依按鍵決定，我按下這個按鍵做出的招式就是這招，對角色的操作感是絕對的，而現在卻會因為旁邊的小兵突然的攻擊而觸發了反擊要件，導致本來要擊暈武將變成反擊擊飛小兵。
雖然現在的攻擊操作可以毫無壓力的打出１０００連擊以上，但其實對於熟練的玩家而言，以前的方式也能打出１０００連擊。
或許對新玩家來說是友善的，但對我來說我不是很滿意這個改變。
另外，就像上面所說的，我明明在打武將，卻會因為旁邊的小兵而觸發反擊。先不說觸發旁邊的小兵這件事對我來說就覺得很奇怪，無雙系列就是小兵超多，根本就是一直在觸發小兵的狀態啊……觸發機制實在很怪。
.
【我以為他們說很卡是騙人的】
STEAM上有個「很有幫助」的一句話評論，「我以為他們說很卡是騙人的」。
真的。
很卡。
我沒開偵數顯示所以我不太確定實際偵數如何。但體感上遇敵大概會變慢３／４，攻擊時大概只會有１／３。我的攻擊都在慢～動～作～
一開始試著操作的時候我還以為是特效，畢竟變慢的太平均了。但遇敵之後就知道不是，因為BGM也跟著一起慢～下～來～
重新把圖形設定關到最低才變順。
PS.這台電腦是可以WOT開全特效不會頓的。
.
【奇怪的物理建模】
大概是為了讓奔跑時不會因為一顆小石頭卡住，物理建模十分的圓滑。
騎著馬，速度夠快的話可以跑上比馬還高的攻城車上。真是太神奇了。
.
【音效】
大致上來說品質還不錯，單聽聲音的話。
為什麼這麼說呢？
因為奇怪的物理建模，明明不是在城門內而是在離很遠的城牆就會有城門內的音效，大概是整個城牆都是城門的音效範圍，而太過圓滑的物理建模導致明明沒有在城牆「內」卻被判定在城牆內。
.
【開放（？）世界】
開放世界是這次真三８最大的賣點。
很失敗。
地圖大概變大不只１００倍吧，玩遊戲大多都是跑地圖……打完百來隻小兵後，跑個一分鐘，遇到另一批百來隻小兵。這是跑主線的情況。無雙感呢？
那不跑主線呢？
因為大地圖有台灣，我試著游去台灣，發現台灣上不去，在地圖外。
然後我跑了２個多小時的地圖，只觸發１個次要任務、遇到２種動物、大概５坨山賊。
然後我跑到南中，路上的居民跟我說她見到曹操心情很激動。恩，遊戲時間軸大約是在袁術稱帝之前。那時候南中大概連曹操是誰都不知道，又怎麼見到曹操心情很激動？
也就是說，這個開放世界單純只是地圖大，什麼都沒有也一點都不開放，就算有的東西也只是模版做出來的，根本沒融入的世界。
然後我跑支線任務的時候莫名其妙就Game Over，才知道原來是主線的主將掛了。
我不推主線推支線，主線的主將掛了我還會Game Over？寫出這規格的到底知不知道什麼是開放世界？
.
【可以上山下海但就是不能爬兩層樓】
環境動作判定很奇怪。
真三８可以用勾繩（？）爬上房子屋瓦。但如果是兩層房，卻不能在第一層的屋瓦上做環境動作爬上第二層的屋瓦。明明其他比較高的單層屋瓦都能照樣爬上去了。
.
【讓人不明所以的指示UI】
真三７有教學模式，沒記錯真三６也有，而真三４則是說明書（那個時代的遊戲都會附說明書）。真三８，只有「觸發」時會跳出資訊，對於操作基本上什麼說明都沒有。
為什麼說是「觸發」時呢？
因為距離在一定範圍內就算不在畫面顯示範圍內一樣會觸發，這時跳出的說明資訊根本讓人不明所以。
然後那３２個按鍵到底什麼是什麼則是幾乎沒有說明。
.
【照相功能】
批評太多了，稍微止血一下。
照相功能基本上是我覺得唯一可以加分的功能。
真三８可以暫停並開啟照相功能，在照相功能中，可以將定格的遊戲畫面以任意的角度、任意的光線、任意的天候環境、任意的光圈、快門等等的相機設定，甚至可以以１偵為單位往前進３０偵畫面。
根本完美。
難怪遊戲上市後有很長一段時間官方都在玩相機模式的募集活動。
因為基本上這次真三８也只有這個功能值得讚許。
.
【整體遊戲感】
感覺不像是無雙系列的真三。
戰鬥沒有無雙感、戰鬥沒有連續感、地圖超大什麼都沒有。
.
【結論】
在我看來真三８是個連半成品都不算的開發中遊戲，而且我試玩的還是推出超過半年，更新過數次的版本。還真不知道剛推出到底是什麼慘況。
真三５當時推出也是號稱大革新，結果卻是大失敗。真三系列都會出的猛將傳真三５也沒出，直接砍到重練進真三６。
這次真三８也是號稱大革新，目前看來也是大失敗。我猜大概也不會出猛將傳了。可以直接等真三９了。"
