name,useful_num,funny_num,games_owned,recommended,hours_played,review_date,text
Garry's Mod,1,1,177,1,103.4,2015/1/30,"張貼於：2015 年 1 月 30 日
Good!"
Garry's Mod,0,0,71,1,121.7,2014/6/4,"張貼於：2014 年 6 月 4 日
( ͡° ͜ʖ ͡°)."
Garry's Mod,2,0,59,1,94.4,2015/2/28,"張貼於：2015 年 2 月 28 日
好玩!!!!"
Garry's Mod,2,1,21,1,"1,277.0",2015/2/19,"張貼於：2015 年 2 月 19 日
是個最耐玩最好玩的遊戲"
Garry's Mod,2,0,65,1,8.8,2015/1/1,"張貼於：2015 年 1 月 1 日
躲貓貓非常好玩啊~~一定要買"
Garry's Mod,0,1,63,1,"1,763.2",2014/12/22,"張貼於：2014 年 12 月 22 日
재미없어"
Garry's Mod,0,1,137,1,51.4,2014/7/30,"張貼於：2014 年 7 月 30 日
Muy bueno el juego.. Los modos de juego muy buenos, hablando principalmente del sandbox ya que puedes hacer lo que quieras.
Sobre los otros modos de juego muy entretenidos, como el prop hunt, perfecto para jugar con amigos."
Garry's Mod,1,0,15,1,107.5,2015/7/22,"張貼於：2015 年 7 月 22 日
Like"
Garry's Mod,1,1,15,1,305.1,2015/7/1,"張貼於：2015 年 7 月 1 日
good game!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
Garry's Mod,1,0,102,1,125.6,2015/6/1,"張貼於：2015 年 6 月 1 日
good"
Garry's Mod,1,0,146,1,"5,515.7",2015/4/17,"張貼於：2015 年 4 月 17 日
no hablo espanol manito :("
Garry's Mod,1,0,65,1,740.8,2013/7/5,"張貼於：2013 年 7 月 5 日
КАШАЙТИ"
Garry's Mod,1,0,233,1,275.6,2016/3/27,"張貼於：2016 年 3 月 27 日
Played Dark RP
Joined the SWAT
Called our selves banter boys
Asked if people wanted some banter
Then mowed them down

10/10"
Garry's Mod,1,0,55,1,748.5,2016/3/17,"張貼於：2016 年 3 月 17 日
ㄈgame"
Garry's Mod,1,0,45,1,917.6,2016/2/15,"張貼於：2016 年 2 月 15 日
好玩的遊戲"
Garry's Mod,1,0,21,1,249.7,2016/1/10,"張貼於：2016 年 1 月 10 日
Nice~~"
Garry's Mod,1,0,86,1,57.5,2016/1/1,"張貼於：2016 年 1 月 1 日
Very fun game do derp around in :D"
Garry's Mod,1,0,42,1,76.9,2015/11/22,"張貼於：2015 年 11 月 22 日
good"
Garry's Mod,1,0,68,1,78.3,2015/11/8,"張貼於：2015 年 11 月 8 日
Good Game i like it."
Garry's Mod,1,0,13,1,392.8,2015/10/24,"張貼於：2015 年 10 月 24 日
Nice play"
Garry's Mod,1,0,200,1,"3,694.4",2015/10/8,"張貼於：2015 年 10 月 8 日
玩了快1年，裡面的叛徒模式跟DG最好玩"
Garry's Mod,1,0,47,1,18.9,2015/9/26,"張貼於：2015 年 9 月 26 日
Fanfastic"
Garry's Mod,1,1,9,1,4.4,2015/9/20,"張貼於：2015 年 9 月 20 日
GOOOOOOOD"
Garry's Mod,1,1,55,1,825.6,2015/8/17,"張貼於：2015 年 8 月 17 日
good"
Garry's Mod,1,0,18,1,77.6,2015/8/16,"張貼於：2015 年 8 月 16 日
Have a good time with friends !"
Garry's Mod,1,0,8,1,96.8,2015/8/1,"張貼於：2015 年 8 月 1 日
好玩"
Garry's Mod,1,0,144,1,270.1,2015/1/27,"張貼於：2015 年 1 月 27 日
這款遊戲可以多人一起玩~~~~
最吸引我的事 gmod 可以像minecraft 奘很多模主
這是我最喜歡的部分了XDDD"
Garry's Mod,1,0,68,1,32.8,2014/10/13,"張貼於：2014 年 10 月 13 日
这是一个不错的游戏，不论是一个人去服务器玩，还是几个基友一起玩，这个游戏都是一个棒的选择，它有很多的mod,能保持游戏的新鲜度，还有很多新鲜的模式让玩家试一下，不论怎么样，这款游戏都是一个good games"
Garry's Mod,1,0,25,1,371.0,2014/10/9,"張貼於：2014 年 10 月 9 日
игра хорошая что сказать!"
Garry's Mod,1,0,52,1,67.6,2015/2/15,"張貼於：2015 年 2 月 15 日
Garry's Mod: The one and only true Sandbox game. Anything goes here.

Build contraptions and complex machines in Sandbox, the builders' dream.

Roleplay as a cop, as a gangster, or even a hobo in DarkRP.

Play as an innocent bystander or the cold-blooded murderer in Murder.

Get your own virtual suite and socialize in Garry's Mod Tower.

Or perhaps try your hand at fighting the zombie horde in Zombie Survival.

If players versus players in Zombie Survival isn't your thing, try Zombie Outbreak.

I wouldn't have 4.5k hours on a game that's boring."
Garry's Mod,1,1,85,1,"12,846.3",2014/9/23,"張貼於：2014 年 9 月 23 日
You need to buy this."
Garry's Mod,1,0,124,1,843.6,2014/8/7,"張貼於：2014 年 8 月 7 日
五年前開始玩，到現在還在玩，超讚。"
Garry's Mod,1,0,65,1,375.4,2014/6/29,"張貼於：2014 年 6 月 29 日
I love this game :D"
Garry's Mod,1,0,164,1,48.1,2014/6/28,"張貼於：2014 年 6 月 28 日
非常好玩! 而且適合跟朋友一起同樂!"
Garry's Mod,1,0,412,1,21.9,2014/6/25,"張貼於：2014 年 6 月 25 日
er...VERY VERY {[JOYFUL]}"
Garry's Mod,1,0,189,1,272.6,2014/6/24,"張貼於：2014 年 6 月 24 日
買啊 都出這麼久了還在想?"
Garry's Mod,1,0,44,1,82.1,2014/4/25,"張貼於：2014 年 4 月 25 日
good"
Garry's Mod,1,0,20,1,159.1,2014/4/7,"張貼於：2014 年 4 月 7 日
good game"
Garry's Mod,1,0,40,1,43.8,2014/3/23,"張貼於：2014 年 3 月 23 日
捉迷藏模式十分急躁，物體可以改變體積所以經常有人躲在車底下，樂子很多"
Garry's Mod,1,1,84,1,117.7,2014/3/10,"張貼於：2014 年 3 月 10 日
這個遊戲擁有最不一樣的玩法 它有許多模式 讓你永遠玩不膩 如果你想找個價錢低廉又好玩的遊戲 那 就是這一款了"
Garry's Mod,1,0,53,1,33.8,2014/1/12,"張貼於：2014 年 1 月 12 日
GOOD"
Garry's Mod,1,0,1,1,7.5,2014/1/11,"張貼於：2014 年 1 月 11 日
請問一下這要怎麼和朋友一起連線?
我用很多方式都盡不去"
Garry's Mod,1,0,93,1,877.9,2013/12/24,"張貼於：2013 年 12 月 24 日
遊戲玩法自由 不錯玩"
Garry's Mod,1,0,198,1,907.0,2011/8/24,"張貼於：2011 年 8 月 24 日
你有很多創意找不到地方發揮嗎? 那就買這款遊戲吧!

保證你買了不後悔!!"
Garry's Mod,2,0,145,1,15.2,2014/4/25,"張貼於：2014 年 4 月 25 日
各種亂搞~超好玩Der"
Garry's Mod,2,0,57,1,49.9,2013/12/31,"張貼於：2013 年 12 月 31 日
非常有趣跟大家一起玩很歡樂"
Garry's Mod,2,0,15,1,11.9,2015/5/6,"張貼於：2015 年 5 月 6 日
GOOD GAME"
Garry's Mod,2,0,5,1,21.3,2015/3/19,"張貼於：2015 年 3 月 19 日
GOOD"
Garry's Mod,2,0,153,1,101.7,2016/8/8,"張貼於：2016 年 8 月 8 日
有趣好笑好玩
但是前提是

1.你要有朋友
你要有朋友
你要有朋友

一個人玩根本不知道要幹嘛 連伺服器他們裝一堆模組你光等就會不想玩
除非跟朋友玩 大家先裝好模組在讀取就很快了

2.另外有些有3D暈的要注意一下
很多朋友買了之後有3D暈都跑去吐
玩一玩會頭暈 可以去google看怎麼解決

確定以上兩項再買 真的很耐玩 很好笑


但是你要爬文一下 知道大概怎麼玩 就開始瘋癲了
可以用sandbox玩很多東西
像上次就拿棍子跟球
就來玩棒球了

然後拿一些板子做成足球網的樣子
就拿來踢足球了

基本上想幹嘛就幹嘛很好玩
而且就會默默的做一些18禁的東西 哈哈哈
上次晚上一個人玩 就默默做出這個怪東西


找幾個朋友
等特賣的時候買下去吧
不會後悔的^^"
Garry's Mod,0,0,62,1,29.0,2016/1/27,"張貼於：2016 年 1 月 27 日
此遊戲必玩!!! 玩了好久 還有很多模式 像.Zombe Survival. .DarkRP. 之纇的!! 必玩!!! 讚!!!"
Garry's Mod,0,0,51,1,471.6,2015/10/3,"張貼於：2015 年 10 月 3 日
真好玩!"
Garry's Mod,0,0,56,1,297.5,2015/8/1,"張貼於：2015 年 8 月 1 日
nice game"
Garry's Mod,0,0,436,1,44.3,2015/1/27,"張貼於：2015 年 1 月 27 日
這款遊戲比較適合，擁有設計感上的玩家可以創造一切的可能性，像我這種普通玩家是玩不出他的創造性，最大造台車子就是極限了而遊戲上，我只能說..遊戲容量真的很大，還有建議選好自己想玩的遊戲，這遊戲必須裝各種模組像我一心十用的人，裝了各種遊戲，大概6.7種遊戲容量暴增至30G，然後遊戲時數又少得可憐，幾乎又不玩，完全就是浪費硬碟但是也因為這款遊戲太萬能，導致部分遊戲上真的都處於很簡陋的狀態，此遊戲還有很大的空間，FPS的BZ編輯器吧.."
Garry's Mod,0,0,45,1,36.2,2014/12/26,"張貼於：2014 年 12 月 26 日
這遊戲太好玩了吧Kappa"
Garry's Mod,0,0,141,1,122.6,2014/5/27,"張貼於：2014 年 5 月 27 日
好棒棒"
Garry's Mod,3,0,15,1,353.4,2014/6/19,"張貼於：2014 年 6 月 19 日
是一款不錯的遊戲啊"
Garry's Mod,2,1,123,1,115.0,2016/5/30,"張貼於：2016 年 5 月 30 日
its a good game"
Garry's Mod,3,1,43,1,28.8,2015/2/14,"張貼於：2015 年 2 月 14 日
非常 fun的遊戲 無聊可以小玩一下"
Garry's Mod,1,0,81,1,680.1,2015/7/24,"張貼於：2015 年 7 月 24 日
MY DECK IS BROKEN CAUSE THIS GAME SO AWSOME"
Garry's Mod,2,1,39,1,109.1,2015/1/18,"張貼於：2015 年 1 月 18 日
Garrys mod is really fun. You can build stuff that you want to build. Its also fun if you play with some of your friends."
Garry's Mod,2,0,19,1,8.0,2014/1/10,"張貼於：2014 年 1 月 10 日
its a very good game though"
Garry's Mod,2,0,76,1,186.1,2014/6/26,"張貼於：2014 年 6 月 26 日
funny game"
Garry's Mod,2,1,250,1,510.0,2012/7/29,"張貼於：2012 年 7 月 29 日
超多功能!超多物件!可以把模組放進去 讚 有玩得一定要去 ""台灣戰區建造伺服器"" ! 那伺服有夠讚!"
Garry's Mod,1,2,14,1,324.2,2015/2/17,"張貼於：2015 年 2 月 17 日
為何我裝了很多在插件找的物品,進場便被關GAME"
Garry's Mod,1,0,120,1,78.8,2014/5/13,"張貼於：2014 年 5 月 13 日
Is gool game"
Garry's Mod,1,0,57,1,58.4,2013/12/21,"張貼於：2013 年 12 月 21 日
歡樂遊玩的好遊戲!!"
Garry's Mod,3,0,11,1,60.1,2016/1/2,"張貼於：2016 年 1 月 2 日
GOOD"
Garry's Mod,2,2,63,1,274.7,2015/9/14,"張貼於：2015 年 9 月 14 日
good game"
Garry's Mod,0,0,21,1,59.8,2016/5/28,"張貼於：2016 年 5 月 28 日
GOOD"
Garry's Mod,4,0,32,1,45.3,2015/5/9,"張貼於：2015 年 5 月 9 日
讚"
Garry's Mod,4,1,54,1,"2,338.9",2015/4/11,"張貼於：2015 年 4 月 11 日
超好玩OWO"
Garry's Mod,0,0,307,1,87.6,2014/7/15,"張貼於：2014 年 7 月 15 日
;"
Garry's Mod,6,1,174,1,199.6,2016/5/17,"張貼於：2016 年 5 月 17 日
3D暈患者表示:雖然很暈但還是很想玩xd

我在steam的第一個遊戲
覺得物超所值"
Garry's Mod,101,5,3,1,25.7,2017/6/24,"張貼於：2017 年 6 月 24 日
其實還不錯"
Garry's Mod,173,1,39,1,986.5,2014/4/19,"張貼於：2014 年 4 月 19 日
希望能有更多更多的台灣人來玩"
