name,useful_num,funny_num,games_owned,recommended,hours_played,review_date,text
Gears 5,101,38,79,1,5.6,9/9,"張貼於：9 月 9 日
繁中只有中配，簡中才是英配，傑出的一手"
Gears 5,133,10,40,-1,0.7,9/9,"張貼於：9 月 9 日
無法使用繁體中文字幕加上英文語音的設定
Unable to use Traditional Chinese subtitles plus English voice settings

一個在XBOX上可以說是招牌系列的遊戲居然還做不到在遊戲內可以自由設定字幕語音"
Gears 5,43,1,446,1,14.1,9/11,"張貼於：9 月 11 日
如果能支持繁字+英語發音就好了"
Gears 5,42,4,161,-1,9.2,9/16,"張貼於：9 月 16 日
2019了還有繁中字幕綁中配的做法"
Gears 5,36,6,90,-1,12.1,9/22,"張貼於：9 月 22 日
第一個在STEAM的差評就給你了，既然要做為什不能提供繁中字幕英文語音，聽那半調子的中配那我還不如不要玩"
Gears 5,23,11,739,1,22.5,9/10,"張貼於：9 月 10 日
中文語音一開始聽起來滿尷尬的，之後反而會使人融入劇情
角色之間的對話也滿搞笑的 。"
Gears 5,19,2,197,-1,0.5,11/24,"張貼於：11 月 24 日
繁中版會因為找不到音檔，
連字幕都不顯示了，
MS你真厲害。

進遊戲20分鐘，
聽不到也看不到半句對話。

(20191124繁中版沒有任何一句音檔是可以撥放的，只有預錄的影片會有對話音檔)"
Gears 5,27,6,31,-1,16.6,9/9,"張貼於：9 月 9 日
遊戲的風格喜歡，射擊節奏感也不錯。
但最不能接受的，就是中文配音，怪腔怪調的崩壞，不是人人都接受。建議設計者盡快設置一個語音及字幕選項。
現在是看簡中字聽英文語音不習慣，看繁中字聽中文配音更崩潰，才玩第一章而已，就覺得好痛苦。
請快改善吧...........拜託。"
Gears 5,14,4,114,1,39.3,9/9,"張貼於：9 月 9 日
畫質近乎無可挑剔
優化也是殿堂級水準
中文配音 欠缺情感沒有容入遊戲情節裡頭, 某些cutscene 甚至用錯語調

戰鬥方面:
一貫GOW風格, 沒有新突破

Horde模式:
原本是很不錯的模式, 可是每一波的結算不能跳過
就算不讓玩家skip至少也讓玩家自由走動撿破爛 修一下門吧
爽爽殺怪的情緒 每一波都因為結算畫面冷掉

Escape模式:
目前就只有那4張地圖, 地圖沒有隨機性, 敵人配置也欠缺隨機性, 重復度高

故事:
由一代開始玩到五代
五代劇情比較傾向解釋獸族的起源, 整個遊戲的故事就只有那麼一丁點推進
以這故事推進速度, GOW故事大慨可以再賣個20年

Overall:
Early Access時伺服有點不穩定, 遊戲裡仍然有一些小bug存在, 期待正式發售後第一patch
整體GOW5 其實沒多少新突破, 但低廉價錢就可以享受這視覺饕宴, 絕對物超所值"
Gears 5,11,0,"3,440",1,17.5,12/27,"張貼於：12 月 27 日
經歷一世紀廝殺，位於錫拉星球的戰爭尚未結束

《戰爭機器》系列最初是於XBOX360與PC平台獨佔發行的第三人稱射擊遊戲，背景世界觀是發生在一個名為鍚拉的星球上，經過人類文明的高速發展，世界陷入了能源危機中，經過科學家的研究之下，他們發現了一種能取代石油的流體物質【伊姆能源】。然而又因伊姆能源產地集中於少數國家，各個國家為了利益相互結盟，世界分為了兩大陣營，其一是能源小國組建的獨立共和國聯邦（簡稱UIR），另一方是獲得大量能源的維安政府聯盟（簡稱COG），不久之後，雙方為了爭奪資源爆發了著名的【鐘擺戰爭】，這場戰爭持續了長達七十九年，最後由COG獲得最後的勝利，但他們沒想到的是，來自地底之下的敵對勢力正虎視眈眈的觀察著人類，打算趁虛而入，一舉取得整座鍚拉星的主導權。

就在鐘擺戰爭結束後第六週，【事變日】正式爆發，獸族部隊透過地道網路移動，從地底出現並將毫無防備的人類部隊瞬間擊潰，在短短的二十四小時內，人類被消滅了三分之一的人口，為了亡羊補牢，剛完結與UIR戰事不久的COG徵招數所有的主力部隊與獸族正面交鋒，並且持續了將近十七年的時間，而這場戰爭仍在持續中。說來慚愧，由於《戰爭機器》系列只有初代有在PC平台發行，沒有擁有XBOX主機的筆者僅在十年前稍微玩過初代，第二次接觸到系列作的時候已經是《戰爭機器 5》也就是系列第五部作品，中間的劇情是根據網路上的資料與影片惡補來的，自己是從來沒有想過一款爽Game居然會有如此宏偉壯闊的史詩級劇情，玩完遊戲後可以說是完整的體驗了一部史詩鉅作。



由於《戰爭機器》前三部曲是由Epic Games研發製作，從《戰爭機器3》之後，微軟旗下的工作室The Coalition成為《戰爭機器》主要開發團隊，該團隊研發的四代被認為是全新故事篇章的開端，主角也從前三部曲的靈魂人物馬庫斯轉變成為其子JD。本次介紹的《戰爭機器5》其故事圍繞在JD、凱特、戴爾三名年輕人身上，隨著故事進展，玩家會在遊戲中更換不同可操作角色，本次劇情戰役共分為四幕，每幕都會帶領玩家進入全新地圖區域，甚至在第二幕與第三幕會有半開放世界的獨特玩法，正因為多了半開放世界的玩法內容，本作的劇情戰役地圖大小也是系列作之最，單人內容的遊玩時數也有顯卓增長。

The Coalition工作室不光只是無腦放大遊戲地圖，為了讓玩家更合理地探索地圖，他們為劇情戰役加入全新支線任務，這些支線任務都與遊戲中的夥伴【傑克】有著藕斷絲連的關係，每當完成支線任務就能獲得傑克的升級組件，可為傑克解鎖更強大的技能，另外玩家也能從支線任務中取得與世界觀有關聯的物件與對話。整體來說，算是為射擊遊戲常見的一本道線性玩法追加了岔路，這條岔路是玩家可以自由選擇是否要體驗的，就算你沒有完成支線任務，也能夠順利通關遊戲，系統不會強迫玩家要完成每項任務。

既然提到了半開放世界，為了不讓玩家徒步跑到斷腿，《戰爭機器5》初次登場的小帆船就是專門用來趕路的載具，雖說是靠風力運動的帆船，但操縱此載具在大地圖旅行的手感不錯，劇情戰役也安排了需要操縱小帆船競速與躲避的極端氣候場景，我們能深刻體驗到製作團隊的野心，或許在未來的作品中，我們就能開著帶有武裝的載具到處旅行了。較為可惜的是，儘管遊戲內分布著不少的支線任務，遊戲中能實際讓玩家探索的場景還是過少，這也導致所謂的半開放世界成為了過目即忘的設定，雖然本作在玩法基礎上做出了改動，但改動力道不足，單人劇情戰役仍舊是線性玩法，通關一次就沒有理由再次遊玩。



《戰爭機器5》承襲系列作的優良傳統，帶給大家極為優秀的第三人稱射擊體驗，本作是款手感良好的射擊遊戲，每次透過武器射擊出的彈藥都會有充足的反饋感，遊戲內大多時間又是我方人數比敵方人數還少的遭遇戰，玩家時常要在掩體間快速地來回移動以躲避敵軍炮火猛攻。這也產生出更換子彈的時機會影響到填裝時間快慢的設定，如果剛好在指定時機更換子彈，還能夠得到一整彈匣的額外傷害彈藥，另外，遊戲在近距離肉搏部分更是讓人熱血沸騰，利用裝有電鋸的步槍將敵人切成兩半，或是手持裝有刺刀的步槍衝鋒刺穿敵人，拳拳到肉、招招見骨的戰鬥體驗，實在是讓人欲罷不能！

前段提到的機器人傑克，它會在遊戲過程中為我們帶來許多便利功能，不管是開鎖、啟動設施、破解密碼、甚至是協助戰鬥，傑克就像是無所不能的幫手機器人，我們需要傑克的幫助才能順利通關遊戲。攻略劇情戰役的過程中，我們會收集到許多【科技模塊】，它們的用途是提供給傑克升級並取得更強大的戰力，科技模塊不僅能提供給傑克更高的生命值與傷害，還能讓已解鎖的技能獲得更佳的效果，舉例來說，遊戲初期傑克最先解鎖的技能【閃光彈】，它最一開始的設計是用於閃瞎躲在掩體後方的敵人，不過在經過完整升級的閃光彈技能，不僅會大幅增加作用範圍，完成支線任務獲得的核心零件還能讓閃光彈附加凍結效果，如此一來就能把躲在掩體後方的敵人凍結，不費吹灰之力的擊碎他們。



《戰爭機器5》劇情戰役演出是近年來第三人稱射擊遊戲中數一數二的佼佼者，令人感到遺憾的是，劇情戰役的內容不太充足，就像是三部曲電影中的二部曲般，首部曲用於介紹世界觀，二部曲作為前往三部曲的轉折點，正當玩家在經歷第四幕的史詩大戰，獸族女王出現跟玩家嗆聲，擊敗高聳入雲的大魔王後，亢奮的高潮配樂突然停下，工作人員表馬上跳了出來，遊戲結局來得太快倉促，筆者都還沒從大戰的亢奮情緒緩和，遊戲就直接結束了，這讓我不禁詢問同行遊玩的友人一句話：『《戰爭機器 6》甚麼時候出？我好想知道接下來的故事劇情發展啊！製作團隊太殘忍，居然把劇情斷在這種高潮點！♥♥♥♥♥♥

關於故事劇情部分，從《戰爭機器1》開始，Epic Games就為系列作埋下了不少伏筆與設定，經過改朝換代後，由The Coalition工作室接手的《戰爭機器4》為前三部曲未說明完全的伏筆進行填補與收尾，玩家甚至能在《戰爭機器5》發現許多講述過往歷史的收藏品，其中就包含關於鐘擺戰爭、事變日、UIR共和國、COG維安政府的相關訊息。透過收藏品補完背景世界觀的做法不僅大幅強化了故事深度，也能夠有效地為往後系列作的劇情取得新的突破口，就算未來推出鐘擺戰爭或事變日期間的外傳作品也不是甚麼大問題。

最後筆者想跟大家談談《戰爭機器5》最被人詬病的【中文配音】，我承認本作中配十分糟糕，而且還不能直接更改配音語系，其中又以配角戴爾的配音最讓我厭煩，不過話說回來，中文配音員的實力真的有那麼差嗎？其實我覺得本作中配表現極差的鍋不全在配音員身上，有一大部分源自於氣氛控管隨意導致的違和感。深入了解後，我們發現角色配音語氣幾乎不帶有感情，這可以理解為《戰爭機器》系列在台灣市場是小眾，廠商給予的預算不多，加上台灣配音員時常要一人配多角，在工作繁忙的前提下，為了盡快完成【不那麼受到關注的項目】以及【大家肯定會選擇歐美配音的遊戲】，本作的中配品質也不難猜出有多糟了，台灣配音環境已經很惡劣，期待能有更多廠商重視配音員的辛勞。



有鑑於《戰爭機器5》多人連線模式在發售三個月後，僅剩下PVE模式擁有較多的玩家遊玩（目前PVP對戰房間都屬於海外高PING房，亞洲區已經很難匹配到PVP對戰模式），所以筆者就針對本作的兩大PVE模式進行評論。首先是廣受好評的【撤離模式】，本模式最多支援三名玩家協力挑戰，我們將扮演自願深入蜂擁族巢穴的自殺敢死隊，在蜂擁族巢穴安裝倒數六十秒就會引爆的致命毒氣後，玩家要同時尋找物資與擊殺不斷來襲的敵人，最終在毒氣汙染整座巢穴前，找到離開此處的出口，引領其他兩名同伴逃出生天。

遊玩了數場撤離模式後，筆者得出了一些關於此模式的心得，首先在回合開始後，玩家身上幾乎沒有物資，僅有一把子彈寥寥無幾的手槍，想要取得更好的武器與彈藥補給，除了要尋找補給屋之外，就只能靠擊殺敵人後撿地上現成的來用了，用通俗一點的方法說明就是：『開局一把手槍，裝備彈藥全靠撿。♥♥♥♥♥♥雖說本模式好評如潮，但是筆者較不喜歡此模式，如果是隨機匹配的戰局，可能會出現獨行俠玩家，他們不僅不會分享彈藥補給給其他玩家，甚至還會拋下那些努力標記地圖與敵人的同伴，只想占人便宜活到最後，不過如果你是跟親朋好友一起組隊的話，應該就可以體驗到此模式的最佳遊戲體驗吧？



相較於撤離模式，【持久戰】是筆者較為喜愛的多人PVE模式，持久戰玩法非常單純，玩家必須要與其他三名同伴共同抵禦敵人一波波的攻勢，存活到五十輪進攻後就算是勝利，要注意的是，每經過十輪進攻，就會進入魔王回合，魔王回合會登場大量精英敵人，並且還會出現一隻BOSS需要大家同心協力擊倒。一旦防線被突破，同伴倒下無人存活，回合就會被強制終止，總而言之，此模式靠單打獨鬥很難撐過全程，且比起撤離模式，持久戰更吃團隊合作，在高難度的房間遇到不懂角色定位以及分享資源給其他人建造防守設施的新手玩家，極有可能在短時間之內被敵人一舉消滅。

那麼要如何取得升級技能與設施的能量呢？持久戰模式有三種方式能讓玩家獲得能量，其一是消滅敵人後，靠近敵人屍體附近出現的黃色光圈，如此一來就能夠獲得能量；其二是檢拾用不到的武器，丟進熔爐分解能獲得些許能量；最後是佔領隨機出現在地圖四周的【能量分接器】，隨著存活的回合越多，系統會隨機生成能量分接器在地圖四處，玩家如果能守住它們不讓敵人摧毀，每個回合都可以靠著使用此設施取得不少能源，善用能量分接器才會有足夠的能量建造與修復設施，如果發現己方火力無法使任何一座能量分接器正常運作，這就代表你的小隊即將面臨敗北的命運，重新再來一局遊戲吧！



綜合以上論述，《戰爭機器5》是款表現優異的系列續作，假如不把草率中斷的主線劇情算在其中，半開放世界與RPG升級系統的全新嘗試、加入許多新料的PVE模式、以及承續優良傳統的核心射擊玩法，都讓本作成為現在市面上不可多得的第三人稱射擊佳作。遊戲售價部分比起歐美地區又更為便宜，原價只要不到九百台幣就能入手（甚至還不只一次釋出半折優惠），如果你在尋找一款能與親朋好友大殺四方的射擊爽Game，那麼《戰爭機器5》會是你於二零一九年的最佳選擇，雖談不上是完美無缺的究級神作，但在玩法融入了創新與傳統元素，試圖在鞏固系列作老粉的同時，也積極拉攏新鮮血液的加入。



優點：
+承襲系列作的優良傳統，帶來射擊手感優秀的遊戲體驗，讓人欲罷不能。
+首次採用半開放世界玩法，雖可探索區域有限，但支線任務可玩性不低。
+PVE模式為充滿新意的持久戰與撤離模式，跟朋友一起遊玩的樂趣更多。
+台灣區建議售價以 3A 大作的標準來說算是大甩賣價格，入手難度極低。


缺點：
-單人劇情戰役的收尾過於倉促，非常刻意地為續作《戰爭機器6》鋪墊。
-中文配音品質低劣，明顯感受到台灣微軟在配音領域沒有花費心思經營。


結論：突破傳統帶來創新玩法，為一陳不變的老舊IP重新殺出一條血路。


網誌圖文好讀版："
